timestamp,host,adminstatus,interface,subinterface,neighbor_description,intstatus,SFPinfo,lastchangeint,Neighbor_System_name,Neigh_port_id
35:04.2,c11x98anrb1.network.microsoft.com,UP,Ethernet8/1,,link;c11x98a721y;Et29,UP,QSFP-40G-SR4,19:01.2,c11x98a721y.network.microsoft.com,Ethernet29/1
35:04.3,c11x98anrb1.network.microsoft.com,UP,Management1,,MGMT,UP,,15:48.8,c11x98anraa.network.microsoft.com,Ethernet1
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet7/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet3/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet6/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet5/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet5/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet4/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet4/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet3/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet7/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet7/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet6/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet5/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet4/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet3/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,UP,Ethernet9/1,,link;c11x98a722y;Et29,UP,QSFP-40G-SR4,19:01.2,c11x98a722y.network.microsoft.com,Ethernet29/1
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet7/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet4/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet6/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet6/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet5/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet3/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,UP,Ethernet24/1,,link;c11x98a721z;Et29,UP,QSFP-40G-SR4,19:01.2,c11x98a721z.network.microsoft.com,Ethernet29/1
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet22/1,,,NOT_PRESENT,,00:00.0,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet21/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,UP,Ethernet23/1,,link;c11x98anru2;Et29/1,UP,QSFP-40G-SR4,56:17.9,c11x98anru2.network.microsoft.com,Ethernet29/1
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet22/4,,,NOT_PRESENT,,00:00.0,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet22/2,,,NOT_PRESENT,,00:00.0,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet21/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet21/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet21/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet20/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet20/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet32/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet22/3,,,NOT_PRESENT,,00:00.0,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet36/4,,,NOT_PRESENT,SPP5200LR-C6,00:00.0,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet32/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet20/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet20/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet34/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet33/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Port-Channel100,,,DOWN,,15:22.4,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet34/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet34/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet30/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,UP,Ethernet26/1,,link;c11x98a723z;Et29,UP,QSFP-40G-SR4,19:01.2,c11x98a723z.network.microsoft.com,Ethernet29/1
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet35/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet32/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet30/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet28/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,UP,Ethernet27/1,,link;c11x98a724z;Et29,UP,QSFP-40G-SR4,19:01.2,c11x98a724z.network.microsoft.com,Ethernet29/1
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet36/2,,,NOT_PRESENT,SPP5200LR-C6,00:00.0,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet35/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
