host,neighboraddress,timestamp,vrf,lastchange,peer_as,sessionstate,prefixesreceived,prefixaccepted,prefixsent,peergroups,neighborinfo,DeviceType
c11x98an2m1.network.microsoft.com,172.199.36.9,57:24.5,admin,51:16.2,,IDLE,0,0,0,,,MS
c11x98an2m1.network.microsoft.com,172.199.36.13,57:29.6,admin,51:16.3,,IDLE,0,0,0,,,MS
c11x98an2m1.network.microsoft.com,172.199.36.15,57:31.6,admin,51:16.2,,IDLE,0,0,0,,,MS
c11x98an2m1.network.microsoft.com,172.199.36.11,57:33.7,admin,51:16.3,,IDLE,0,0,0,,,MS
c11x98an2m2.network.microsoft.com,172.199.36.25,58:27.5,admin,51:16.2,,IDLE,0,0,0,,,MS
c11x98an2m2.network.microsoft.com,172.199.36.29,58:30.9,admin,51:16.2,,IDLE,0,0,0,,,MS
c11x98an2m2.network.microsoft.com,172.199.36.31,58:33.8,admin,51:16.3,,IDLE,0,0,0,,,MS
c11x98an2m2.network.microsoft.com,172.199.36.27,58:36.5,admin,51:16.3,,IDLE,0,0,0,,,MS
c11x98an2m2.network.microsoft.com,2ff1:4898:3040:5::3a,58:39.9,admin,51:17.7,,IDLE,,,0,,,MS
c11x98an2m2.network.microsoft.com,2ff1:4898:3040:5::3e,58:41.8,admin,51:17.7,,IDLE,,,0,,,MS
d14x98anrub.network.microsoft.com,2ff1:110:3040:1::85,13:19.0,default,05:40.8,,,0,0,0,corp-ts-v6,d14x98anru1,NS_TOR
d14x98anrub.network.microsoft.com,2ff1:110:3040:1::8d,13:29.4,default,05:40.8,,,0,0,0,corp-ts-v6,d14x98anru2,NS_TOR
d14x98anrub.network.microsoft.com,172.199.160.244,13:35.8,default,10:41.0,,ESTABLISHED,55,55,0,corp-ts-v4,d14x98anru1,NS_TOR
d14x98anru1.network.microsoft.com,172.199.160.241,17:33.6,default,08:56.7,,ESTABLISHED,0,0,0,corp-tor-v4,d14x98an5ua,TS
d14x98anru2.network.microsoft.com,172.199.160.243,22:36.6,default,13:53.1,,ESTABLISHED,2,0,58,corp-tor-v4,d14x98an5ua,TS
d14x98anrua.network.microsoft.com,2ff1:110:3040:1::81,34:44.7,default,04:18.1,,IDLE,0,0,0,corp-ts-v6,d14x98anru1,NS_TOR
d14x98anrua.network.microsoft.com,172.199.160.242,34:56.1,default,13:53.1,,ESTABLISHED,55,55,0,corp-ts-v4,d14x98anru2,NS_TOR
d14x98anrua.network.microsoft.com,199.33.62.1,35:02.3,default,20:58.4,,ESTABLISHED,,,,evpz-bl,d14x98anrb2,NS_TOR
d14x98anrua.network.microsoft.com,199.33.62.2,35:03.9,default,21:21.5,,ESTABLISHED,,,,evpz-bl,d14x98anrb3,NS_TOR
d14x98anrua.network.microsoft.com,172.199.160.240,35:25.5,default,08:56.7,,ESTABLISHED,55,55,0,corp-ts-v4,d14x98anru1,NS_TOR
d14x98anrua.network.microsoft.com,199.33.62.3,35:28.0,default,22:14.0,,ESTABLISHED,,,,evpz-bl,d14x98anrb4,NS_TOR
d14x98anrua.network.microsoft.com,199.33.62.0,35:33.4,default,20:17.4,,ESTABLISHED,,,,evpz-bl,d14x98anrb1,NS_TOR
d14x98anrua.network.microsoft.com,2ff1:110:3040:1::89,35:43.8,default,04:18.2,,IDLE,0,0,0,corp-ts-v6,d14x98anru2,NS_TOR
d14x98anrub.network.microsoft.com,199.33.62.0,42:11.7,default,20:17.9,,ESTABLISHED,,,,evpz-bl,d14x98anrb1,NS_TOR
d14x98anrub.network.microsoft.com,199.33.62.1,42:49.6,default,20:59.0,,ESTABLISHED,,,,evpz-bl,d14x98anrb2,NS_TOR
d14x98anrub.network.microsoft.com,199.33.62.2,43:10.2,default,21:21.8,,ESTABLISHED,,,,evpz-bl,d14x98anrb3,NS_TOR
d14x98anrub.network.microsoft.com,199.33.62.3,43:15.9,default,22:14.4,,ESTABLISHED,,,,evpz-bl,d14x98anrb4,NS_TOR
d14x98anrud.network.microsoft.com,2ff1:110:3040:1::95,03:15.4,default,54:25.6,,,0,0,0,corp-ts-v6,d14x98anru1,NS_TOR
d14x98anrud.network.microsoft.com,2ff1:110:3040:1::9d,04:37.8,default,54:25.4,,,0,0,0,corp-ts-v6,d14x98anru2,NS_TOR
d14x98anrud.network.microsoft.com,172.199.160.70,04:46.3,default,54:25.4,,,0,0,0,corp-ts-v4,d14x98anru2,NS_TOR
d14x98anrud.network.microsoft.com,172.199.160.66,05:02.4,default,54:25.4,,,0,0,0,corp-ts-v4,d14x98anru1,NS_TOR
d14x98anruc.network.microsoft.com,2ff1:110:3040:1::99,27:32.8,default,14:09.8,,IDLE,0,0,0,corp-ts-v6,d14x98anru2,NS_TOR
